nifty50,nifty100,nifty200,nifty500,niftyall,niftybank,niftyit,niftypsubank,niftyfmcg,niftyprivatebank,niftymetal,niftypharma,niftyfinance
,,SUNTV.NS,GRINDWELL.NS,BANSWRAS.NS,,,,,,,,
,,SYNGENE.NS,GUJALKALI.NS,BARTRONICS.NS,,,,,,,,
,,TVSMOTOR.NS,GUJGASLTD.NS,BASF.NS,,,,,,,,
,,TCS.NS,GMDCLTD.NS,BASML.NS,,,,,,,,
,,TATACONSUM.NS,GNFC.NS,BATAINDIA.NS,,,,,,,,
,,TATAMTRDVR.NS,GPPL.NS,BAYERCROP.NS,,,,,,,,
,,TATAMOTORS.NS,GSFC.NS,BBL.NS,,,,,,,,
,,TATAPOWER.NS,GSPL.NS,BBTC.NS,,,,,,,,
,,TATASTEEL.NS,GULFOILLUB.NS,BCG.NS,,,,,,,,
,,TECHM.NS,HEG.NS,BCP.NS,,,,,,,,
,,NIACL.NS,HCLTECH.NS,BDL.NS,,,,,,,,
,,RAMCOCEM.NS,HDFCAMC.NS,BEARDSELL.NS,,,,,,,,
,,TITAN.NS,HDFCBANK.NS,BEDMUTHA.NS,,,,,,,,
,,TORNTPHARM.NS,HDFCLIFE.NS,BEL.NS,,,,,,,,
,,TORNTPOWER.NS,HFCL.NS,BEML.NS,,,,,,,,
,,UPL.NS,HATSUN.NS,BEPL.NS,,,,,,,,
,,ULTRACEMCO.NS,HAVELLS.NS,BERGEPAINT.NS,,,,,,,,
,,UNIONBANK.NS,HEIDELBERG.NS,BFINVEST.NS,,,,,,,,
,,UBL.NS,HERITGFOOD.NS,BFUTILITIE.NS,,,,,,,,
,,MCDOWELL-N.NS,HEROMOTOCO.NS,BGRENERGY.NS,,,,,,,,
,,VGUARD.NS,HEXAWARE.NS,BHAGERIA.NS,,,,,,,,
,,VARROC.NS,HSCL.NS,BHAGYANGR.NS,,,,,,,,
,,VBL.NS,HIMATSEIDE.NS,BHAGYAPROP.NS,,,,,,,,
,,VEDL.NS,HINDALCO.NS,BHANDARI.NS,,,,,,,,
,,IDEA.NS,HAL.NS,BHARATFORG.NS,,,,,,,,
,,VOLTAS.NS,HINDCOPPER.NS,BHARATGEAR.NS,,,,,,,,
,,WHIRLPOOL.NS,HINDPETRO.NS,BHARATRAS.NS,,,,,,,,
,,WIPRO.NS,HINDUNILVR.NS,BHARATWIRE.NS,,,,,,,,
,,ZEEL.NS,HINDZINC.NS,BHARTIARTL.NS,,,,,,,,
,,,HONAUT.NS,BHEL.NS,,,,,,,,
,,,HUDCO.NS,BIGBLOC.NS,,,,,,,,
,,,HDFC.NS,BIL.NS,,,,,,,,
,,,ICICIBANK.NS,BILENERGY.NS,,,,,,,,
,,,ICICIGI.NS,BINDALAGRO.NS,,,,,,,,
,,,ICICIPRULI.NS,BIOCON.NS,,,,,,,,
,,,ISEC.NS,BIOFILCHEM.NS,,,,,,,,
,,,ICRA.NS,BIRLACABLE.NS,,,,,,,,
,,,IDBI.NS,BIRLACORPN.NS,,,,,,,,
,,,IDFCFIRSTB.NS,BIRLAMONEY.NS,,,,,,,,
,,,IDFC.NS,BIRLATYRE.NS,,,,,,,,
,,,IFBIND.NS,BKMINDST.NS,,,,,,,,
,,,IFCI.NS,BLBLIMITED.NS,,,,,,,,
,,,IIFL.NS,BLISSGVS.NS,,,,,,,,
,,,IRB.NS,BLKASHYAP.NS,,,,,,,,
,,,IRCON.NS,BLS.NS,,,,,,,,
,,,ITC.NS,BLUECOAST.NS,,,,,,,,
,,,ITDCEM.NS,BLUEDART.NS,,,,,,,,
,,,ITI.NS,BLUESTARCO.NS,,,,,,,,
,,,INDIACEM.NS,BODALCHEM.NS,,,,,,,,
,,,ITDC.NS,BOMDYEING.NS,,,,,,,,
,,,IBULHSGFIN.NS,BORORENEW.NS,,,,,,,,
,,,IBULISL.NS,BOSCHLTD.NS,,,,,,,,
,,,IBREALEST.NS,BPCL.NS,,,,,,,,
,,,IBVENTURES.NS,BPL.NS,,,,,,,,
,,,INDIAMART.NS,BRFL.NS,,,,,,,,
,,,INDIANB.NS,BRIGADE.NS,,,,,,,,
,,,IEX.NS,BRITANNIA.NS,,,,,,,,
,,,INDHOTEL.NS,BRNL.NS,,,,,,,,
,,,IOC.NS,BROOKS.NS,,,,,,,,
,,,IOB.NS,BSE.NS,,,,,,,,
,,,INDOSTAR.NS,BSELINFRA.NS,,,,,,,,
,,,IGL.NS,BSL.NS,,,,,,,,
,,,INDUSINDBK.NS,BSOFT.NS,,,,,,,,
,,,INFIBEAM.NS,BURNPUR.NS,,,,,,,,
,,,NAUKRI.NS,BUTTERFLY.NS,,,,,,,,
,,,INFY.NS,BVCL.NS,,,,,,,,
,,,INOXLEISUR.NS,BYKE.NS,,,,,,,,
,,,INTELLECT.NS,CADILAHC.NS,,,,,,,,
,,,INDIGO.NS,CALSOFT.NS,,,,,,,,
,,,IPCALAB.NS,CAMLINFINE.NS,,,,,,,,
,,,JBCHEPHARM.NS,CANBK.NS,,,,,,,,
,,,JKCEMENT.NS,CANDC.NS,,,,,,,,
,,,JKLAKSHMI.NS,CANFINHOME.NS,,,,,,,,
,,,JKPAPER.NS,CANTABIL.NS,,,,,,,,
,,,JKTYRE.NS,CAPACITE.NS,,,,,,,,
,,,JMFINANCIL.NS,CAPLIPOINT.NS,,,,,,,,
,,,JSWENERGY.NS,CAPTRUST.NS,,,,,,,,
,,,JSWSTEEL.NS,CARBORUNIV.NS,,,,,,,,
,,,JAGRAN.NS,CAREERP.NS,,,,,,,,
,,,JAICORPLTD.NS,CARERATING.NS,,,,,,,,
,,,JISLJALEQS.NS,CASTEXTECH.NS,,,,,,,,
,,,J&KBANK.NS,CASTROLIND.NS,,,,,,,,
,,,JAMNAAUTO.NS,CCHHL.NS,,,,,,,,
,,,JINDALSAW.NS,CCL.NS,,,,,,,,
,,,JSLHISAR.NS,CDSL.NS,,,,,,,,
,,,JSL.NS,CEATLTD.NS,,,,,,,,
,,,JINDALSTEL.NS,CEBBCO.NS,,,,,,,,
,,,JCHAC.NS,CELEBRITY.NS,,,,,,,,
,,,JUBLFOOD.NS,CENTENKA.NS,,,,,,,,
,,,JUBILANT.NS,CENTEXT.NS,,,,,,,,
,,,JUSTDIAL.NS,CENTRALBK.NS,,,,,,,,
,,,JYOTHYLAB.NS,CENTRUM.NS,,,,,,,,
,,,KPRMILL.NS,CENTUM.NS,,,,,,,,
,,,KEI.NS,CENTURYPLY.NS,,,,,,,,
,,,KNRCON.NS,CENTURYTEX.NS,,,,,,,,
,,,KPITTECH.NS,CERA.NS,,,,,,,,
,,,KRBL.NS,CEREBRAINT.NS,,,,,,,,
,,,KAJARIACER.NS,CESC.NS,,,,,,,,
,,,KALPATPOWR.NS,CESCVENT.NS,,,,,,,,
,,,KANSAINER.NS,CGCL.NS,,,,,,,,
,,,KTKBANK.NS,CGPOWER.NS,,,,,,,,
,,,KARURVYSYA.NS,CHALET.NS,,,,,,,,
