nifty50,nifty100,nifty200,nifty500,niftyall,niftybank,niftyit,niftypsubank,niftyfmcg,niftyprivatebank,niftymetal,niftypharma,niftyfinance
,,,,TIL.NS,,,,,,,,
,,,,TIMESGTY.NS,,,,,,,,
,,,,TIMETECHNO.NS,,,,,,,,
,,,,TIMKEN.NS,,,,,,,,
,,,,TINPLATE.NS,,,,,,,,
,,,,TIPSINDLTD.NS,,,,,,,,
,,,,TIRUMALCHM.NS,,,,,,,,
,,,,TITAN.NS,,,,,,,,
,,,,TMRVL.NS,,,,,,,,
,,,,TNPETRO.NS,,,,,,,,
,,,,TNPL.NS,,,,,,,,
,,,,TNTELE.NS,,,,,,,,
,,,,TOKYOPLAST.NS,,,,,,,,
,,,,TORNTPHARM.NS,,,,,,,,
,,,,TORNTPOWER.NS,,,,,,,,
,,,,TOUCHWOOD.NS,,,,,,,,
,,,,TPLPLASTEH.NS,,,,,,,,
,,,,TREEHOUSE.NS,,,,,,,,
,,,,TREJHARA.NS,,,,,,,,
,,,,TRENT.NS,,,,,,,,
,,,,TRF.NS,,,,,,,,
,,,,TRIDENT.NS,,,,,,,,
,,,,TRIGYN.NS,,,,,,,,
,,,,TRIL.NS,,,,,,,,
,,,,TRITURBINE.NS,,,,,,,,
,,,,TRIVENI.NS,,,,,,,,
,,,,TTKHLTCARE.NS,,,,,,,,
,,,,TTKPRESTIG.NS,,,,,,,,
,,,,TTL.NS,,,,,,,,
,,,,TTML.NS,,,,,,,,
,,,,TV18BRDCST.NS,,,,,,,,
,,,,TVSELECT.NS,,,,,,,,
,,,,TVSMOTOR.NS,,,,,,,,
,,,,TVSSRICHAK.NS,,,,,,,,
,,,,TVTODAY.NS,,,,,,,,
,,,,TVVISION.NS,,,,,,,,
,,,,TWL.NS,,,,,,,,
,,,,UBL.NS,,,,,,,,
,,,,UCALFUEL.NS,,,,,,,,
,,,,UCOBANK.NS,,,,,,,,
,,,,UFLEX.NS,,,,,,,,
,,,,UFO.NS,,,,,,,,
,,,,UGARSUGAR.NS,,,,,,,,
,,,,UJAAS.NS,,,,,,,,
,,,,UJJIVAN.NS,,,,,,,,
,,,,UJJIVANSFB.NS,,,,,,,,
,,,,ULTRACEMCO.NS,,,,,,,,
,,,,UMANGDAIRY.NS,,,,,,,,
,,,,UMESLTD.NS,,,,,,,,
,,,,UNICHEMLAB.NS,,,,,,,,
,,,,UNIENTER.NS,,,,,,,,
,,,,UNIONBANK.NS,,,,,,,,
,,,,UNIPLY.NS,,,,,,,,
,,,,UNITECH.NS,,,,,,,,
,,,,UNITEDTEA.NS,,,,,,,,
,,,,UNITY.NS,,,,,,,,
,,,,UNIVCABLES.NS,,,,,,,,
,,,,UNIVPHOTO.NS,,,,,,,,
,,,,UPL.NS,,,,,,,,
,,,,URJA.NS,,,,,,,,
,,,,USHAMART.NS,,,,,,,,
,,,,UTTAMSTL.NS,,,,,,,,
,,,,UTTAMSUGAR.NS,,,,,,,,
,,,,UVSL.NS,,,,,,,,
,,,,V2RETAIL.NS,,,,,,,,
,,,,VADILALIND.NS,,,,,,,,
,,,,VAIBHAVGBL.NS,,,,,,,,
,,,,VAISHALI.NS,,,,,,,,
,,,,VAKRANGEE.NS,,,,,,,,
,,,,VARDHACRLC.NS,,,,,,,,
,,,,VARDMNPOLY.NS,,,,,,,,
,,,,VARROC.NS,,,,,,,,
,,,,VASCONEQ.NS,,,,,,,,
,,,,VASWANI.NS,,,,,,,,
,,,,VBL.NS,,,,,,,,
,,,,VEDL.NS,,,,,,,,
,,,,VENKEYS.NS,,,,,,,,
,,,,VENUSREM.NS,,,,,,,,
,,,,VERTOZ.NS,,,,,,,,
,,,,VESUVIUS.NS,,,,,,,,
,,,,VETO.NS,,,,,,,,
,,,,VGUARD.NS,,,,,,,,
,,,,VHL.NS,,,,,,,,
,,,,VICEROY.NS,,,,,,,,
,,,,VIDEOIND.NS,,,,,,,,
,,,,VIDHIING.NS,,,,,,,,
,,,,VIJIFIN.NS,,,,,,,,
,,,,VIKASECO.NS,,,,,,,,
,,,,VIKASMCORP.NS,,,,,,,,
,,,,VIKASPROP.NS,,,,,,,,
,,,,VIKASWSP.NS,,,,,,,,
,,,,VIMTALABS.NS,,,,,,,,
,,,,VINATIORGA.NS,,,,,,,,
,,,,VINDHYATEL.NS,,,,,,,,
,,,,VINYLINDIA.NS,,,,,,,,
,,,,VIPCLOTHNG.NS,,,,,,,,
,,,,VIPIND.NS,,,,,,,,
,,,,VIPULLTD.NS,,,,,,,,
,,,,VISAKAIND.NS,,,,,,,,
,,,,VISASTEEL.NS,,,,,,,,
,,,,VISHAL.NS,,,,,,,,
,,,,VISHNU.NS,,,,,,,,
,,,,VISHWARAJ.NS,,,,,,,,
,,,,VIVIDHA.NS,,,,,,,,
,,,,VIVIMEDLAB.NS,,,,,,,,
,,,,VLSFINANCE.NS,,,,,,,,
,,,,VMART.NS,,,,,,,,
,,,,VOLTAMP.NS,,,,,,,,
,,,,VOLTAS.NS,,,,,,,,
,,,,VRLLOG.NS,,,,,,,,
,,,,VSSL.NS,,,,,,,,
,,,,VSTIND.NS,,,,,,,,
,,,,VSTTILLERS.NS,,,,,,,,
,,,,VTL.NS,,,,,,,,
,,,,WABAG.NS,,,,,,,,
,,,,WABCOINDIA.NS,,,,,,,,
,,,,WALCHANNAG.NS,,,,,,,,
,,,,WANBURY.NS,,,,,,,,
,,,,WATERBASE.NS,,,,,,,,
,,,,WEBELSOLAR.NS,,,,,,,,
,,,,WEIZMANIND.NS,,,,,,,,
,,,,WELCORP.NS,,,,,,,,
,,,,WELENT.NS,,,,,,,,
,,,,WELINV.NS,,,,,,,,
,,,,WELSPUNIND.NS,,,,,,,,
,,,,WENDT.NS,,,,,,,,
,,,,WESTLIFE.NS,,,,,,,,
,,,,WHEELS.NS,,,,,,,,
,,,,WHIRLPOOL.NS,,,,,,,,
,,,,WILLAMAGOR.NS,,,,,,,,
,,,,WINDMACHIN.NS,,,,,,,,
,,,,WIPL.NS,,,,,,,,
,,,,WIPRO.NS,,,,,,,,
,,,,WOCKPHARMA.NS,,,,,,,,
,,,,WONDERLA.NS,,,,,,,,
,,,,WSI.NS,,,,,,,,
,,,,WSTCSTPAPR.NS,,,,,,,,
,,,,XCHANGING.NS,,,,,,,,
,,,,XELPMOC.NS,,,,,,,,
,,,,XPROINDIA.NS,,,,,,,,
,,,,YESBANK.NS,,,,,,,,
,,,,ZEEL.NS,,,,,,,,
,,,,ZEELEARN.NS,,,,,,,,
,,,,ZEEMEDIA.NS,,,,,,,,
,,,,ZENITHBIR.NS,,,,,,,,
,,,,ZENITHEXPO.NS,,,,,,,,
,,,,ZENSARTECH.NS,,,,,,,,
,,,,ZENTEC.NS,,,,,,,,
,,,,ZICOM.NS,,,,,,,,
,,,,ZODIACLOTH.NS,,,,,,,,
,,,,ZODJRDMKJ.NS,,,,,,,,
,,,,ZOTA.NS,,,,,,,,
,,,,ZUARI.NS,,,,,,,,
,,,,ZUARIGLOB.NS,,,,,,,,
,,,,ZYDUSWELL.NS,,,,,,,,
